date,capital_before,capital_after_cost,cost_pct,turnover,n_stocks,selected_factors,top_factor_ic_ir,top_stocks
2024-01-31,10000.0,9940.0,0.6,100.0,30,"['factor_bp', 'factor_sp', 'factor_ep', 'factor_reversal', 'factor_np_margin', 'factor_asset_turn', 'factor_liability_to_asset', 'factor_quick_ratio']","{'factor_bp': 0.15, 'factor_sp': 0.148, 'factor_ep': 0.133, 'factor_reversal': 0.129, 'factor_np_margin': 0.0}","600015(10.0% @5.35), 601077(10.0% @3.78), 601328(10.0% @5.31), 601288(10.0% @3.41), 601398(10.0% @4.53)"
2024-02-29,10322.747389352313,10317.792470605145,0.048,8.0,30,"['factor_reversal', 'factor_sp', 'factor_bp', 'factor_ep', 'factor_np_margin', 'factor_asset_turn', 'factor_liability_to_asset', 'factor_quick_ratio']","{'factor_reversal': 0.18, 'factor_sp': 0.119, 'factor_bp': 0.103, 'factor_ep': 0.093, 'factor_np_margin': 0.0}","600015(10.0% @5.59), 601328(10.0% @5.55), 601077(10.0% @3.91), 601288(10.0% @3.67), 601398(10.0% @4.67)"
2024-03-29,10368.588686218767,10362.36753300686,0.06,10.0,30,"['factor_reversal', 'factor_sp', 'factor_bp', 'factor_ep', 'factor_np_margin', 'factor_asset_turn', 'factor_liability_to_asset', 'factor_quick_ratio']","{'factor_reversal': 0.188, 'factor_sp': 0.131, 'factor_bp': 0.104, 'factor_ep': 0.102, 'factor_np_margin': 0.0}","601169(10.0% @5.10), 601328(10.0% @5.61), 601288(10.0% @3.71), 601077(10.0% @4.07), 601988(10.0% @3.93)"
2024-04-30,10662.115292217193,10654.43856920625,0.072,12.0,30,"['factor_reversal', 'factor_sp', 'factor_bp', 'factor_ep', 'factor_np_margin', 'factor_asset_turn', 'factor_liability_to_asset', 'factor_quick_ratio']","{'factor_reversal': 0.171, 'factor_sp': 0.127, 'factor_bp': 0.103, 'factor_ep': 0.1, 'factor_np_margin': 0.0}","600015(10.0% @5.92), 601328(10.0% @6.09), 601077(10.0% @4.05), 601288(10.0% @3.85), 601988(10.0% @4.10)"
2024-05-31,10921.158006825042,10908.765508064304,0.113,18.9,30,"['factor_reversal', 'factor_sp', 'factor_ep', 'factor_bp', 'factor_np_margin', 'factor_asset_turn', 'factor_liability_to_asset', 'factor_quick_ratio']","{'factor_reversal': 0.181, 'factor_sp': 0.148, 'factor_ep': 0.127, 'factor_bp': 0.123, 'factor_np_margin': 0.0}","600015(10.0% @6.08), 601229(10.0% @6.72), 601988(10.0% @3.96), 601328(10.0% @6.24), 601288(10.0% @3.85)"
2024-06-28,10919.268365898744,10904.199775547882,0.138,23.0,30,"['factor_sp', 'factor_reversal', 'factor_ep', 'factor_bp', 'factor_np_margin', 'factor_asset_turn', 'factor_liability_to_asset', 'factor_quick_ratio']","{'factor_sp': 0.154, 'factor_reversal': 0.146, 'factor_ep': 0.136, 'factor_bp': 0.124, 'factor_np_margin': 0.0}","600015(10.0% @5.99), 601229(10.0% @6.66), 601169(10.0% @5.26), 601939(10.0% @6.56), 601398(10.0% @4.99)"
2024-07-31,11169.818501123158,11154.404151591601,0.138,23.0,30,"['factor_reversal', 'factor_bp', 'factor_sp', 'factor_ep', 'factor_np_margin', 'factor_asset_turn', 'factor_liability_to_asset', 'factor_quick_ratio']","{'factor_reversal': 0.163, 'factor_bp': 0.132, 'factor_sp': 0.13, 'factor_ep': 0.121, 'factor_np_margin': 0.0}","601229(10.0% @6.69), 601328(10.0% @6.84), 601077(10.0% @4.78), 601398(10.0% @5.39), 601288(10.0% @4.24)"
2024-08-30,10989.589095570373,10981.676591421005,0.072,12.0,30,"['factor_reversal', 'factor_bp', 'factor_ep', 'factor_sp', 'factor_np_margin', 'factor_asset_turn', 'factor_liability_to_asset', 'factor_quick_ratio']","{'factor_reversal': 0.175, 'factor_bp': 0.14, 'factor_ep': 0.135, 'factor_sp': 0.132, 'factor_np_margin': 0.0}","600000(10.0% @8.18), 601229(10.0% @6.49), 601328(10.0% @6.61), 601077(10.0% @4.61), 601288(10.0% @4.18)"
2024-09-30,12147.49454965058,12138.39384294359,0.075,12.5,30,"['factor_bp', 'factor_reversal', 'factor_sp', 'factor_ep', 'factor_np_margin', 'factor_asset_turn', 'factor_liability_to_asset', 'factor_quick_ratio']","{'factor_bp': 0.132, 'factor_reversal': 0.123, 'factor_sp': 0.119, 'factor_ep': 0.116, 'factor_np_margin': 0.0}","601229(10.0% @7.24), 601077(10.0% @5.02), 601288(10.0% @4.44), 601328(10.0% @6.88), 601988(10.0% @4.69)"
2024-10-31,11907.654347543079,11900.509754934557,0.06,10.0,30,"['factor_bp', 'factor_sp', 'factor_ep', 'factor_reversal', 'factor_np_margin', 'factor_asset_turn', 'factor_liability_to_asset', 'factor_quick_ratio']","{'factor_bp': 0.139, 'factor_sp': 0.116, 'factor_ep': 0.106, 'factor_reversal': 0.098, 'factor_np_margin': 0.0}","601077(10.0% @5.14), 601328(10.0% @6.61), 600919(10.0% @8.13), 601988(10.0% @4.53), 601288(10.0% @4.37)"
2024-11-29,12288.229787576705,12278.64496834239,0.078,13.0,30,"['factor_bp', 'factor_sp', 'factor_ep', 'factor_reversal', 'factor_np_margin', 'factor_asset_turn', 'factor_liability_to_asset', 'factor_quick_ratio']","{'factor_bp': 0.137, 'factor_sp': 0.103, 'factor_ep': 0.1, 'factor_reversal': 0.095, 'factor_np_margin': 0.0}","601988(10.0% @4.70), 601229(10.0% @7.78), 601288(10.0% @4.44), 601398(10.0% @5.67), 601077(10.0% @5.19)"
2024-12-31,13251.506521805313,13240.37525632695,0.084,14.0,30,"['factor_bp', 'factor_ep', 'factor_sp', 'factor_reversal', 'factor_np_margin', 'factor_asset_turn', 'factor_liability_to_asset', 'factor_quick_ratio']","{'factor_bp': 0.15, 'factor_ep': 0.125, 'factor_sp': 0.111, 'factor_reversal': 0.108, 'factor_np_margin': 0.0}","601328(10.0% @7.22), 601077(10.0% @5.59), 601229(10.0% @8.68), 601939(10.0% @8.22), 601988(10.0% @5.17)"
